,Unnamed: 0,date,dunknumber,file_timestamp,Bracket Type,approx. Flume T [°C],Flow speed [cm/s],Turbine Speed,Bath T [°C],Bath Sat [%],In Bath [UTC],Caps on [UTC],In Flume [UTC],caps off [UTC],FLUME_REF_TEMP,FLUME_REF_TEMP_STD,FLUME_REF_PSAL,FLUME_REF_PSAL_STD,FLUME_REF_FLOWSPEED,aa3827_tau_phase,aa3827_tau_o2sat,aa3827_tau_doxy,aa3312_tau_phase,aa3312_tau_o2sat,aa3312_tau_doxy,aa3412_tau_phase,aa3412_tau_o2sat,aa3412_tau_doxy,aa3413_tau_phase,aa3413_tau_o2sat,aa3413_tau_doxy,rbr210619_tau_phase,rbr210619_tau_o2sat,rbr210619_tau_doxy,rbr210624_tau_phase,rbr210624_tau_o2sat,rbr210624_tau_doxy,pyro1_o2_tau_phase,pyro1_o2_tau_o2sat,pyro1_o2_tau_doxy,pyro2_o2_tau_phase,pyro2_o2_tau_o2sat,pyro2_o2_tau_doxy
20,20,02/10/2023,21,1676050759174.0,O2 Large,16.3,25.0,77.0,16.3,120.0,17:39,,,,16.605739365079366,0.0076362713981835,30.54101682539683,0.0015113652247321,24.39,42.358263435530255,39.35024817046093,39.50709848049152,39.902868848977,37.24946139035943,37.41649280462168,26.345790014787745,,,,,,15.107834186050358,14.335780450343227,14.383991982042698,15.2592546938864,14.254376502878085,14.23293434206924,1.820654718976578,1.820654718976578,1.820654718976578,1.6475995314608718,1.6475995314608718,1.6475995314608718
21,21,02/10/2023,22,1676059053292.0,O2 Large,16.4,6.0,5.0,5.7,100.0,,,,,,,,,6.23,,,,,,,,,,,,,,,,,,,,,,,,
22,22,02/10/2023,23,1676060416171.0,O2 Large,16.7,11.0,20.0,5.5,100.0,20:20,,20:26,,16.74561238095238,0.0023189158073422,30.544698253968253,0.0015994582809948,10.82,,,,,,,,,,,,,,,,,,,,,,,,
23,23,02/10/2023,24,1676062325418.0,O2 Large,16.7,19.0,42.0,5.3,100.0,20:46,,20:56,,16.76187650793651,0.003074635690759,30.544612539682536,0.0019426748604706,16.71,,,,,,,,,,,,,,,,,,,,,,,,
24,24,02/10/2023,25,1676063049361.0,O2 Large,16.7,19.0,42.0,5.4,100.0,21:04,,21:14,,16.768767301587303,0.0027411694910907,30.54361873015873,0.0018494610901587,16.71,,,,,,,,,,,,,,,,,,,,,,,,
25,25,02/10/2023,26,1676064325170.0,O2 Large,16.7,25.0,77.0,5.3,100.0,21:19,,21:27,,16.804767936507933,0.0072489750033465,30.54251904761905,0.0034805380510369,24.39,,,,,,,,,,,,,,,,,,,,,,,,
26,26,02/13/2023,27,1676298212134.0,O2 small,17.0,30.0,93.0,5.0,100.0,14:23,,14:28,,17.069123015873018,0.0090598885964839,30.627987301587297,0.0021341287254947,27.31,,,,,,,,,,,,,,,,,,,,,,,,
27,27,02/13/2023,28,1676298874706.0,O2 small,17.0,18.0,44.0,5.0,100.0,14:34,,14:39,,17.08948349206349,0.0043609647100519,30.62930603174603,0.0010785918799234,17.21,,,,,,,,,,,,,,,,,,,,,,,,
28,28,02/13/2023,29,1676299537038.0,O2 small,17.0,14.0,28.0,5.0,100.0,14:46,,14:53,,17.112319047619046,0.0031356352812117,30.630434285714284,0.0011191404216839,13.07,,,,,,,,,,,,,,,,,,,,,,,,
29,29,02/13/2023,30,1676300387915.0,O2 small,,,,,,,,,,17.125771428571426,0.0027746201554091,30.63053777777777,0.0009620257140154,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,02/13/2023,31,1676301291409.0,O2 small,,,,,,,,,,17.151956984126983,0.0038125282762086,30.627159841269844,0.0017501265188401,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,02/13/2023,32,1676302185138.0,O2 small,,,,,,,,,,17.166483333333332,0.0026727000199844,30.626497142857144,0.0007329163935327,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,02/13/2023,33,1676308919819.0,pH package,17.0,6.0,5.0,5.0,8.35,17:24,,17:28,,17.197759206349204,0.0005961005603543,30.630648095238097,0.0006071958893739,6.23,,,,,,,,,,,,,,,,,,,,,,,,
33,33,02/13/2023,34,1676310852935.0,pH package,17.0,6.0,5.0,5.0,8.35,17:29,17:56,,17:56,17.226647936507938,0.0007492348662851,30.62163682539683,0.0006869597742359,6.23,,,,,,,,,,,,,,,,,,,,,,,,
34,34,02/13/2023,35,1676312397569.0,pH package,17.0,8.0,9.0,5.0,8.35,18:08,18:21,,18:22,17.258407936507936,0.0011416920869331,30.62138507936508,0.0012909942926063,7.5,,,,,,,,,,,,,,,,,,,,,,,,
35,35,02/13/2023,36,1676314143453.0,pH package,17.0,11.0,20.0,,,18:32,18:48,,18:53,17.296265714285713,0.0013829801204665,30.62399587301588,0.0010831093320366,10.82,,,,,,,,,,,,,,,,,,,,,,,,
36,36,02/13/2023,37,1676315592598.0,pH package,,14.0,28.0,,,19:05,,,19:14,17.32166857142857,0.0014898267259883,30.62379444444445,0.001170436464211,13.07,,,,,,,,,,,,,,,,,,,,,,,,
37,37,02/13/2023,38,1676316957778.0,pH package,,19.0,44.0,,,19:26,19:36,,19:37,17.339434920634922,0.0019821632186697,30.62467317460317,0.0011765274778014,17.21,,,,,,,,,,,,,,,,,,,,,,,,
38,38,02/13/2023,39,1676318279872.0,pH package,,25.0,77.0,,,19:48,,,20:00,17.370078412698412,0.0061609737445044,30.62400460317461,0.0017070147760649,24.39,,,,,,,,,,,,,,,,,,,,,,,,
39,39,02/13/2023,40,1676322297782.0,O2 small,17.38,6.0,5.0,17.38,70.0,21:05,21:16,,21:17,17.420821746031745,0.0004576199285345,30.62817571428572,0.001032256296287,6.23,,,,,,,,,,,,,,,,,,,,,,,,
40,40,02/14/2023,41,1676338614075.0,O2 small,17.38,6.0,5.0,17.38,70.0,21:29,1:38,1:38,1:39,17.459602222222223,0.0006498069174628,30.630907142857147,0.0010642665386574,6.23,,,,,,,,,,,,,,,,,,,,,,,,
